number,question,option_a,option_b,option_c,option_d,correct_answer,state
262,Was bedeutet in Deutschland der Grundsatz der Gleichbehandlung?,Niemand darf z.B. wegen einer Behinderung benachteiligt werden.,Man darf andere Personen benachteiligen wenn ausreichende persönliche Gründe vorliegen.,Niemand darf gegen Personen klagen wenn sie benachteiligt wurden.,Es ist für alle Gesetz benachteiligten Gruppen jährlich Geld zu spenden.,A,Allgemein (alle Bundesländer)
263,In Deutschland sind Jugendliche ab 14 Jahren strafmündig. Jugendliche die gegen Strafgesetze verstoßen...,werden bestraft.,werden wie Erwachsene behandelt.,teilen die Strafe mit ihren Eltern.,werden nicht bestraft.,A,Allgemein (alle Bundesländer)
264,Zu welchem Fest tragen Menschen in Deutschland bunte Kostüme und Masken?,am Rosenmontag,am Maifeiertag,beim Oktoberfest,an Pfingsten,A,Allgemein (alle Bundesländer)
265,Wohin muss man in Deutschland zuerst gehen wenn man heiraten möchte?,zum Standesamt,zum Einwohnermeldeamt,zum Ordnungsamt,zur Agentur für Arbeit,A,Allgemein (alle Bundesländer)
266,Wann beginnt die gesetzliche Nachtruhe in Deutschland?,um 22 Uhr,wenn die Sonne untergeht,wenn die Nachbarn schlafen gehen,um 0 Uhr Mitternacht,A,Allgemein (alle Bundesländer)
267,Eine junge Frau 22 Jahre alt lebt mit ihrem Freund zusammen. Die Eltern finden das nicht gut. Was können die Eltern tun?,Sie müssen die Entscheidung der volljährigen Tochter respektieren.,Sie haben das Recht die Tochter in die elterliche Wohnung zurückzuholen.,Sie können zur Polizei gehen und die Tochter anzeigen.,Sie suchen einen anderen Mann für die Tochter.,A,Allgemein (alle Bundesländer)
268,Eine junge Frau will den Führerschein machen. Ihre Muttersprache ist nicht Deutsch. Was ist richtig?,Sie kann die Theorie-Prüfung vielleicht in ihrer Muttersprache machen. Es gibt mehr als zehn Sprachen zur Auswahl.,Sie muss mindestens zehn Jahre in Deutschland leben bevor sie den Führerschein machen kann.,Wenn sie kein Deutsch kann darf sie keinen Führerschein haben.,Sie muss den Führerschein in dem Land machen in dem man ihre Sprache spricht.,A,Allgemein (alle Bundesländer)
269,In Deutschland haben Kinder ab dem Alter von drei Jahren bis zur Ersteinschulung einen Anspruch auf...,einen Kindergartenplatz.,monatliches Taschengeld.,einen Platz in einem Sportverein.,einen Ferienpass.,A,Allgemein (alle Bundesländer)
270,Die Volkshochschule in Deutschland ist eine Einrichtung...,zur Weiterbildung.,für den Religionsunterricht.,nur für Jugendliche.,nur für Rentner und Rentnerinnen.,A,Allgemein (alle Bundesländer)
271,Was ist in Deutschland ein Brauch zu Weihnachten?,einen Tannenbaum schmücken,bunte Eier verstecken,sich mit Masken und Kostümen verkleiden,Kürbisse vor die Tür stellen,A,Allgemein (alle Bundesländer)
272,Welche Lebensform ist in Deutschland nicht erlaubt?,Ein Mann ist mit zwei Frauen zur selben Zeit verheiratet.,Mann und Frau sind geschieden und leben mit neuen Partnern zusammen.,Zwei Frauen leben zusammen.,Ein alleinerziehender Vater lebt mit seinen zwei Kindern zusammen.,A,Allgemein (alle Bundesländer)
273,Bei Erziehungsproblemen gehen Sie in Deutschland... (2),zum Jugendamt.,zum Arzt.,zum Gesundheitsamt.,zum Einwohnermeldeamt.,A,Allgemein (alle Bundesländer)
274,Sie haben in Deutschland absichtlich einen Brief geöffnet der an eine andere Person adressiert ist. Was haben Sie nicht beachtet?,das Briefgeheimnis,das Schweigerecht,die Schweigepflicht,die Meinungsfreiheit,A,Allgemein (alle Bundesländer)
275,Was braucht man in Deutschland für eine Ehescheidung?,die Unterstützung eines Anwalts / einer Anwältin,die Einwilligung der Eltern,ein Attest eines Arztes,die Einwilligung der Kinder,A,Allgemein (alle Bundesländer)
276,Was sollten Sie tun wenn Sie von einem Ansprechpartner in einer deutschen Behörde schlecht behandelt werden?,Ich kann mich beim Behördenleiter beschweren.,Ich kann nichts tun.,Ich muss mir diese Behandlung gefallen lassen.,Ich drohe der Person.,A,Allgemein (alle Bundesländer)
277,Eine Frau mit einem zweijährigen Kind bekommt eine Stelle nicht. Was ist ein Beispiel für Diskriminierung?,Sie bekommt die Stelle nur deshalb nicht weil sie Mutter ist.,Sie bekommt die Stelle nicht weil sie kein Englisch spricht.,Sie bekommt die Stelle nicht weil sie zu hohe Gehaltsvorstellungen hat.,Sie bekommt die Stelle nicht weil sie keine Erfahrungen im Beruf hat.,A,Allgemein (alle Bundesländer)
278,Ein Mann im Rollstuhl bekommt eine Stelle als Buchhalter nicht. Was ist ein Beispiel für Diskriminierung?,Er bekommt die Stelle nur deshalb nicht weil er im Rollstuhl sitzt.,Er bekommt die Stelle nicht weil er keine Erfahrung hat.,Er bekommt die Stelle nicht weil er zu hohe Gehaltsvorstellungen hat.,Er bekommt die Stelle nicht weil er kein Englisch spricht.,A,Allgemein (alle Bundesländer)
279,Was steht in einer Hausordnung in einem deutschen Mietshaus?,Regeln an die sich alle Bewohner halten müssen.,Regeln für die Benutzung öffentlicher Verkehrsmittel.,alle Mieter im Haus.,die Adresse des nächsten Ordnungsamtes.,A,Allgemein (alle Bundesländer)
280,Wenn Sie sich in Deutschland gegen einen falschen Steuerbescheid wehren wollen müssen Sie...,Einspruch einlegen.,nichts machen.,den Bescheid wegwerfen.,warten bis ein anderer Bescheid kommt.,A,Allgemein (alle Bundesländer)
281,Zwei Freunde mit dunkler Hautfarbe werden deshalb nicht ins Schwimmbad gelassen. Welches Recht wird verletzt?,Gleichbehandlung,Meinungsfreiheit,Versammlungsfreiheit,Freizügigkeit,A,Allgemein (alle Bundesländer)
282,Welches Ehrenamt müssen deutsche Staatsbürger übernehmen wenn sie dazu aufgefordert werden?,Wahlhelfer / Wahlhelferin,Vereinstrainer / Vereinstrainerin,Bibliotheksaufsicht,Lehrer / Lehrerin,A,Allgemein (alle Bundesländer)
283,Was tun Sie wenn Sie eine falsche Rechnung von einer deutschen Behörde bekommen?,Ich lege Widerspruch bei der Behörde ein.,Ich lasse die Rechnung liegen.,Ich schicke die Rechnung an die Behörde zurück.,Ich gehe mit der Rechnung zum Finanzamt.,A,Allgemein (alle Bundesländer)
284,Was man für die Arbeit können muss ändert sich in der Zukunft sehr schnell. Was kann man tun?,Erwachsene müssen auch nach der Ausbildung immer weiter lernen.,Es ist egal was man lernt.,Kinder lernen in der Schule alles was im Beruf wichtig ist.,Alle müssen früher aufhören zu arbeiten weil sich alles ändert.,A,Allgemein (alle Bundesländer)
285,Frau Frost arbeitet als fest angestellte Mitarbeiterin. Was muss sie nicht von ihrem Gehalt bezahlen?,Umsatzsteuer,Lohnsteuer,Beiträge zur Arbeitslosenversicherung,Beiträge zur Renten- und Krankenversicherung,A,Allgemein (alle Bundesländer)
286,Welche Organisation in einer Firma hilft den Arbeitnehmern bei Problemen mit dem Arbeitgeber?,der Betriebsrat,der Betriebsprüfer,die Betriebsgruppe,das Betriebsmanagement,A,Allgemein (alle Bundesländer)
287,Sie möchten bei einer Firma in Deutschland Ihr Arbeitsverhältnis beenden. Was müssen Sie beachten?,die Kündigungsfrist,die Gehaltszahlungen,die Arbeitszeit,die Versicherungspflicht,A,Allgemein (alle Bundesländer)
288,Woraus begründet sich Deutschlands besondere Verantwortung für Israel?,aus den nationalsozialistischen Verbrechen gegen Juden,aus der Mitgliedschaft in der Europäischen Union (EU),aus dem Grundgesetz der Bundesrepublik Deutschland,aus der christlichen Tradition,A,Allgemein (alle Bundesländer)
289,Ein Mann mit dunkler Hautfarbe bekommt eine Stelle als Kellner nicht. Was ist ein Beispiel für Diskriminierung?,Er bekommt die Stelle nur deshalb nicht weil er eine dunkle Haut hat.,Er bekommt die Stelle nicht weil seine Deutschkenntnisse zu gering sind.,Er bekommt die Stelle nicht weil er zu hohe Gehaltsvorstellungen hat.,Er bekommt die Stelle nicht weil er keine Erfahrungen im Beruf hat.,A,Allgemein (alle Bundesländer)
290,Sie haben in Deutschland einen Fernseher gekauft aber er funktioniert nicht. Was können Sie machen?,den Fernseher reklamieren,eine Anzeige schreiben,das Gerät ungefragt austauschen,die Garantie verlängern,A,Allgemein (alle Bundesländer)
291,Warum muss man in Deutschland bei der Steuererklärung aufschreiben ob man zu einer Kirche gehört oder nicht?,weil es eine Kirchensteuer gibt die an die Einkommen- und Lohnsteuer geknüpft ist.,weil das für die Statistik in Deutschland wichtig ist.,weil man mehr Steuern zahlen muss wenn man nicht zu einer Kirche gehört.,weil die Kirche für die Steuererklärung verantwortlich ist.,A,Allgemein (alle Bundesländer)
292,Die Menschen in Deutschland leben nach dem Grundsatz der religiösen Toleranz. Was bedeutet das?,Jeder kann glauben was er möchte.,Es dürfen keine Moscheen gebaut werden.,Alle Menschen glauben an Gott.,Der Staat entscheidet an welchen Gott die Menschen glauben.,A,Allgemein (alle Bundesländer)
293,Was ist in Deutschland ein Brauch an Ostern?,Eier bemalen,Kürbisse vor die Tür stellen,einen Tannenbaum schmücken,Raketen in die Luft schießen,A,Allgemein (alle Bundesländer)
294,Pfingsten ist ein...,christlicher Feiertag.,deutscher Gedenktag.,internationaler Trauertag.,bayerischer Brauch.,A,Allgemein (alle Bundesländer)
295,Welche Religion hat die europäische und deutsche Kultur geprägt?,das Christentum,der Hinduismus,der Buddhismus,der Islam,A,Allgemein (alle Bundesländer)
296,In Deutschland nennt man die letzten vier Wochen vor Weihnachten...,die Adventszeit.,den Buß- und Bettag.,das Erntedankfest.,Allerheiligen.,A,Allgemein (alle Bundesländer)
297,Aus welchem Land sind die meisten Migranten nach Deutschland gekommen?,Türkei,Italien,Polen,Marokko,A,Allgemein (alle Bundesländer)
298,In der DDR lebten vor allem Migranten aus...,"Vietnam, Polen, Mosambik.","Frankreich, Rumänien, Somalia.","Chile, Ungarn, Simbabwe.","Nordkorea, Mexiko, Ägypten.",A,Allgemein (alle Bundesländer)
299,Ausländische Arbeitnehmer die in den 50er und 60er Jahren von der Bundesrepublik Deutschland angeworben wurden nannte man...,Gastarbeiter / Gastarbeiterinnen,Schwarzarbeiter / Schwarzarbeiterinnen,Zeitarbeiter / Zeitarbeiterinnen,Schichtarbeiter / Schichtarbeiterinnen,A,Allgemein (alle Bundesländer)
300,Aus welchem Land kamen die ersten Gastarbeiter in die Bundesrepublik Deutschland?,Italien,Spanien,Portugal,Türkei,A,Allgemein (alle Bundesländer)
301,Welches Wappen gehört zum Bundesland Baden-Württemberg? (Bildaufgabe),Antwort 1 (Wappen BW),Antwort 2,Antwort 3,Antwort 4,A,Baden-Württemberg
302,Welches ist ein Landkreis in Baden-Württemberg?,Neckar-Odenwald-Kreis,Demmin,Nordfriesland,Altötting,A,Baden-Württemberg
303,Für wie viele Jahre wird der Landtag in Baden-Württemberg gewählt?,5,3,4,6,A,Baden-Württemberg
304,Ab welchem Alter darf man in Baden-Württemberg bei Kommunalwahlen wählen?,16,14,18,20,A,Baden-Württemberg
305,Welche Farben hat die Landesflagge von Baden-Württemberg?,schwarz-gold,blau-weiß-rot,weiß-blau,grün-weiß-rot,A,Baden-Württemberg
306,Wo können Sie sich in Baden-Württemberg über politische Themen informieren?,bei der Landeszentrale für politische Bildung,beim Ordnungsamt der Gemeinde,bei der Verbraucherzentrale,bei den Kirchen,A,Baden-Württemberg
307,Die Landeshauptstadt von Baden-Württemberg heißt ...,Stuttgart.,Heidelberg.,Karlsruhe.,Mannheim.,A,Baden-Württemberg
308,Welches Bundesland ist Baden-Württemberg? (Bildaufgabe),Antwort 1,Antwort 2,Antwort 3,Antwort 4,A,Baden-Württemberg
309,Wie nennt man den Regierungschef / die Regierungschefin in Baden-Württemberg?,Ministerpräsident / Ministerpräsidentin,Erster Minister / Erste Ministerin,Premierminister / Premierministerin,Bürgermeister / Bürgermeisterin,A,Baden-Württemberg
310,Welchen Minister / welche Ministerin hat Baden-Württemberg nicht?,Außenminister / Außenministerin,Finanzminister / Finanzministerin,Justizminister / Justizministerin,Innenminister / Innenministerin,A,Baden-Württemberg
